# forge model registry — single source of truth for alias resolution.
#
# Columns (tab-separated):
#   alias    short name you type in --dwarf / --qa
#   harness  which CLI runs it: codex | claude | openclaude | opencode | antigravity
#   model    the exact model id that harness expects
#   effort   which reasoning efforts this pairing accepts, in one of four forms:
#              <=X      any effort on the harness ladder up to and including X
#              a,b,c    exactly these efforts and no others (gaps are real: some
#                       models offer low and high but not medium)
#              none     this model takes no effort flag at all; passing one errors
#              -        harness has no validated ladder; forwarded verbatim
#
# An effort outside the accepted set is clamped to the nearest lower one that is
# accepted (and reported), rather than failing a dispatch the user already paid
# to start. A word that is not a recognized effort at all is still an error.
#
# Row order is meaningful: the FIRST row for an alias is that alias's default
# harness. `--dwarf sol` means sol on codex; `--dwarf sol:high:openclaude` moves
# the same model to a different harness.
#
# An alias with no row here is not an error — it is passed through as a literal
# model id, but only when you name the harness explicitly (forge cannot guess a
# default harness for a model it has never heard of).
#
# alias	harness	model	effort
sol	codex	gpt-5.6-sol	<=ultra
sol	openclaude	gpt-5.6-sol	<=max
sol	opencode	github-copilot/gpt-5.6-sol	-
terra	codex	gpt-5.6-terra	<=ultra
terra	openclaude	gpt-5.6-terra	<=max
terra	opencode	github-copilot/gpt-5.6-terra	-
luna	codex	gpt-5.6-luna	<=max
luna	openclaude	gpt-5.6-luna	<=max
luna	opencode	opencode-go/gpt-5.6-luna	-
opus	claude	opus	<=max
opus	openclaude	opus	<=ultracode
opus	antigravity	claude-opus-4-6-thinking	none
opus	opencode	github-copilot/claude-opus-5	-
sonnet	claude	sonnet	<=max
sonnet	openclaude	sonnet	<=ultracode
sonnet	antigravity	claude-sonnet-4-6	none
sonnet	opencode	github-copilot/claude-sonnet-5	-
fable	claude	fable	<=max
fable	openclaude	fable	<=ultracode
fable	opencode	github-copilot/claude-fable-5	-
haiku	claude	haiku	<=max
haiku	openclaude	haiku	<=ultracode
haiku	opencode	github-copilot/claude-haiku-4.5	-
# Antigravity (agy). Gemini models take effort as a flag on the UNSUFFIXED id;
# the suffixed ids agy lists (gemini-3.7-flash-low) conflict with --effort.
gemini	antigravity	gemini-3.7-flash	low,medium,high
gemini	opencode	github-copilot/gemini-3.1-pro-preview	-
gemini-flash	antigravity	gemini-3.7-flash	low,medium,high
gemini-pro	antigravity	gemini-3.1-pro	low,high
gemini-3.6	antigravity	gemini-3.6-flash	low,medium,high
gemini-3.5	antigravity	gemini-3.5-flash	low,medium,high
gpt-oss	antigravity	gpt-oss-120b	medium
grok	opencode	github-copilot/grok-4.6	-
kimi	opencode	github-copilot/kimi-k3	-
glm	opencode	opencode-go/glm-5.2	-
qwen	opencode	opencode-go/qwen3.8-max	-
